,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
2022년 2월,180.8,101.2,2706.34,104.7,2.66,2.88,4.3,1404,0.347
2022년 3월,183.1,107.1,2698.31,105.09,2.6,2.91,4.1,1236,0.359
2022년 4월,184.4,113.0,2745.85,105.73,2.62,2.94,3.9,1624,0.378
2022년 5월,181.9,107.3,2669.21,106.29,2.63,2.99,3.5,2372,0.414
2022년 6월,182.0,100.9,2670.74,106.85,2.62,3.02,3.4,2014,0.404
2022년 7월,174.8,93.0,2342.92,107.47,2.63,3.06,3.3,1028,0.383
2022년 8월,169.2,88.3,2444.05,107.65,2.65,3.11,2.3,0,0.342
2022년 9월,165.6,88.5,2443.0,107.78,2.66,3.17,2.8,0,0.205
2022년 10월,157.4,78.7,2189.51,108.12,2.74,3.24,3.1,0,0.005
2022년 11월,148.9,74.3,2301.58,108,2.85,3.32,2.8,0,-0.088
2022년 12월,143.1,76.0,2501.43,108.46,2.93,3.38,2.8,1001,-0.094
2023년 1월,145.0,82.8,2249.95,109.22,2.99,3.45,3.4,1161,-0.072
2023년 2월,147.8,93.7,2446.03,109.6,3.09,3.52,2.9,2286,-0.043
2023년 3월,149.9,97.5,2414.61,109.77,3.01,3.57,2.8,3234,-0.008
2023년 4월,152.3,99.3,2485.81,109.94,3.08,3.64,2.8,2981,-0.004
2023년 5월,154.2,103.7,2504.01,110.37,3.18,3.72,2.7,3711,0.052
2023년 6월,156.8,105.3,2572.56,110.5,3.18,3.78,2.8,4136,0.065
2023년 7월,158.5,109.8,2580.89,110.63,3.4,3.85,3.0,3804,0.09
2023년 8월,160.5,113.4,2644.34,111.69,3.62,3.9,2.0,4091,0.144
2023년 9월,161.9,114.6,2551.93,112.08,3.63,3.91,2.4,3845,0.205
2023년 10월,161.7,108.8,2435.78,112.51,3.69,3.92,2.5,2983,0.251
2023년 11월,159.4,100.5,2292.89,111.98,3.72,3.93,2.7,2417,0.227
2023년 12월,157.5,97.4,2520.49,112.25,3.73,3.94,2.9,1790,0.193
2024년 1월,158.0,101.1,2645.47,112.6,3.75,3.96,3.1,2456,0.157
2024년 2월,158.8,106.5,2491.93,113.07,3.77,3.97,2.9,2665,0.158
2024년 3월,159.0,106.8,2664.52,113.02,3.69,3.95,3.4,3482,0.226
2024년 4월,160.0,110.0,2766.24,113.37,3.71,3.95,3.6,4840,0.238
2024년 5월,161.4,113.0,2679.04,113.42,3.7,3.96,3.6,5182,0.246
2024년 6월,164.1,120.1,2657.81,113.17,3.77,3.96,3.3,6150,0.269
2024년 7월,167.6,123.5,2792.96,113.46,3.8,3.95,2.6,9518,0.282
2024년 8월,170.2,125.6,2787.27,113.94,3.7,3.93,2.4,7609,0.282
