,아파트매매지수,부동산심리지수,kospi,소비자물가지수,New_COFIX,Outstanding_COFIX,실업률,아파트거래량,지가변동률
140,131.1,98.6,2414.61,110.52,3.01,3.57,2.61,9903,0.0291
141,132.3,101.8,2485.81,110.8,3.08,3.64,2.75,9218,0.038
142,133.6,108.3,2504.01,111.13,3.18,3.72,2.76,10670,0.0581
143,134.9,106.6,2572.56,111.131,3.18,3.78,2.82,10633,0.0671
144,136.3,102.1,2580.89,111.27,3.4,3.85,2.83,9795,0.073
145,137.7,97.0,2644.34,112.22,3.62,3.9,2.21,10319,0.1461
146,139.0,93.61,2551.93,112.78,3.63,3.91,2.62,10076,0.137
147,138.7,105.1,2435.78,113.11,3.69,3.92,2.0,8242,0.168
148,137.2,105.2,2292.89,112.58,3.72,3.93,2.42,7407,0.187
149,136.1,105.3,2520.49,112.57,3.73,3.94,2.84,6081,0.193
150,136.2,109.21,2645.47,113.05,3.75,3.96,3.31,7729,0.181
151,136.6,104.3,2491.93,113.64,3.77,3.97,3.111,8946,0.196
152,136.61,97.81,2664.52,113.9,3.69,3.95,2.99,10104,0.211
153,137.0,100.51,2766.24,113.89,3.71,3.95,3.112,11673,0.217
154,137.1,109.22,2679.04,114.01,3.7,3.96,2.77,11703,0.228
155,138.1,121.9,2657.81,113.76,3.77,3.96,2.85,12683,0.2221
156,139.3,125.2,2792.96,114.16,3.8,3.95,2.43,16890,0.224
157,140.7,120.1,2787.27,114.51,3.7,3.93,1.7,14618,0.218
